epoch date freq primary flux rms err snr sep flux_v rms_v err_v snr_v sep_v
22 2022-11-14T22:10:36.6 887.5 True 3.289504289627075 0.5598222613334656 0.46473872661590576 5.875979900360107 2.25 -0.9798018932342529 0.22122418880462646 0.23827558755874634 4.428999900817871 5.019999980926514
23 2022-11-19T21:15:57.2 887.5 True 3.762941837310791 0.5763243436813354 0.5775201916694641 6.529208660125732 1.5800000429153442 -1.162833571434021 0.23319214582443237 0.2522355020046234 4.9865899085998535 2.740000009536743
23 2022-12-06T20:14:21.0 887.5 True 3.4944915771484375 0.6631683707237244 0.700695812702179 5.269388198852539 0.6600000262260437 -0.9282373785972595 0.23092390596866608 0.24651452898979187 4.019667625427246 5.420000076293945
23 2022-12-20T21:19:36.9 887.5 True 4.097050189971924 0.6629863381385803 0.6814900636672974 6.179689884185791 2.25 -0.7587169408798218 0.24942657351493835 0.2701057195663452 3.0418448448181152 4.599999904632568
23 2023-01-05T19:58:45.8 887.5 True 4.395939826965332 0.7644769549369812 0.8300797343254089 5.750257968902588 1.0399999618530273 -0.9309406876564026 0.46159985661506653 nan 2.0167698860168457 0.0
23 2023-01-20T17:26:35.8 887.5 True 3.647099494934082 0.6271258592605591 0.6261441111564636 5.815577983856201 1.7200000286102295 -0.6934946179389954 0.2591811418533325 nan 2.6757140159606934 0.0
23 2023-02-03T16:33:28.7 887.5 True 4.146666049957275 0.5463933348655701 0.5355598330497742 7.58915901184082 1.690000057220459 -1.3222732543945312 0.29083824157714844 nan 4.546421527862549 0.0
23 2023-02-04T17:25:12.6 887.5 True 3.882904291152954 0.5461892485618591 0.5825720429420471 7.109082221984863 2.190000057220459 -1.2444074153900146 0.3911983370780945 0.4240311086177826 3.181014060974121 3.109999895095825
24 2023-02-18T15:35:09.4 887.5 True 4.493128299713135 0.5450314283370972 0.5294702649116516 8.243797302246094 1.0299999713897705 -1.0972208976745605 0.27484726905822754 0.2174747735261917 3.9921114444732666 5.230000019073486
25 2023-02-23T15:01:39.7 887.5 True 3.925210952758789 0.5676950216293335 0.548529326915741 6.914295196533203 1.2300000190734863 -1.141326665878296 0.23881620168685913 0.2457531839609146 4.77910041809082 2.1600000858306885
26 2023-03-06T14:17:14.7 887.5 True 2.5124356746673584 0.7139886617660522 0.6571683883666992 3.518873453140259 2.8399999141693115 -0.597861111164093 0.27463510632514954 nan 2.176928997039795 0.0
27 2023-03-22T15:18:07.4 887.5 True 3.9092230796813965 0.6361516714096069 0.631687343120575 6.145111560821533 1.4299999475479126 -0.8264461755752563 0.23568204045295715 0.2416878491640091 3.506615161895752 2.950000047683716
30 2023-04-06T13:42:45.8 887.5 True 2.8004400730133057 0.7777368426322937 0.7407848834991455 3.600755453109741 4.460000038146973 -0.9730848073959351 0.2805684208869934 0.2662160098552704 3.468261957168579 1.090000033378601
31 2023-04-21T13:31:39.1 887.5 True 3.8106656074523926 0.5822884440422058 0.5547283291816711 6.544291973114014 1.1699999570846558 -0.6732627749443054 0.24395644664764404 nan 2.7597663402557373 0.0
32 2023-05-07T10:18:26.1 887.5 True 3.087284564971924 0.6404284238815308 0.6919384002685547 4.820655345916748 5.610000133514404 -0.9007236957550049 0.2400834709405899 0.2052990347146988 3.7517104148864746 4.639999866485596
33 2023-05-21T11:27:17.7 887.5 True 3.8444602489471436 0.5734438300132751 0.554835855960846 6.704161643981934 2.2100000381469727 -1.1276010274887085 0.21407705545425415 0.20535650849342346 5.267266750335693 1.649999976158142
34 2023-06-03T10:30:27.3 887.5 True 3.677880048751831 0.5785602331161499 0.5966301560401917 6.356952667236328 3.240000009536743 -0.9210960268974304 0.2329738438129425 0.22170205414295197 3.953645706176758 0.8399999737739563
35 2023-06-06T08:02:47.8 887.5 True 4.543936729431152 0.6471053957939148 0.6466102600097656 7.021942138671875 1.3899999856948853 -1.13617742061615 0.2407650649547577 0.21929433941841125 4.719029426574707 0.44999998807907104
37 2023-06-22T07:16:27.4 887.5 True 4.085101127624512 0.6353565454483032 0.6745278239250183 6.429619789123535 2.680000066757202 -0.7501490116119385 0.22654207050800323 nan 3.3113012313842773 0.0
38 2023-06-25T06:48:19.8 887.5 True 4.316600799560547 0.5561023950576782 0.5561432242393494 7.762240886688232 1.350000023841858 -0.8031701445579529 0.23051008582115173 0.22811013460159302 3.484316825866699 6.010000228881836
40 2023-07-04T08:29:45.6 887.5 True 3.146331787109375 0.6839365363121033 0.6620759963989258 4.600327014923096 0.33000001311302185 -0.7188255190849304 0.23573514819145203 0.23441176116466522 3.049293041229248 7.449999809265137
41 2023-07-23T07:07:02.4 887.5 True 4.369681358337402 0.5463911890983582 0.5696216225624084 7.997350215911865 0.3799999952316284 -1.4816956520080566 0.23877207934856415 0.23106449842453003 6.205481052398682 3.190000057220459
