epoch date freq primary flux rms snr
0 2019-05-04T11:51:18.403 887.5 True 4.087138652801514 1.0809603929519653 3.7810251712799072
22 2022-11-14T22:10:36.6 887.5 True 2.0966389179229736 0.558524489402771 3.753889322280884
23 2022-11-19T21:15:57.2 887.5 True 3.7407281398773193 0.5783085227012634 6.468395709991455
23 2022-12-06T20:14:21.0 887.5 True 3.7177746295928955 0.6630545258522034 5.60704231262207
23 2022-12-20T21:19:36.9 887.5 True 4.185495853424072 0.6616932153701782 6.325432777404785
23 2023-01-05T19:58:45.8 887.5 True 6.024043560028076 0.7626017332077026 7.899331092834473
23 2023-01-20T17:26:35.8 887.5 True 3.6629111766815186 0.6263205409049988 5.848301410675049
23 2023-02-03T16:33:28.7 887.5 True 3.6262946128845215 0.5464537143707275 6.636050701141357
23 2023-02-04T17:25:12.6 887.5 True 4.357167720794678 0.5429770350456238 8.024588584899902
24 2023-02-18T15:35:09.4 887.5 True 3.9468727111816406 0.5470472574234009 7.214866638183594
25 2023-02-23T15:01:39.7 887.5 True 3.636009693145752 0.5695139765739441 6.384408473968506
26 2023-03-06T14:17:14.7 887.5 True 1.8509414196014404 0.71568363904953 2.586256504058838
27 2023-03-22T15:18:07.4 887.5 True 3.6597657203674316 0.6329930424690247 5.781683921813965
30 2023-04-06T13:42:45.8 887.5 True 1.9739142656326294 0.776732861995697 2.541304111480713
31 2023-04-21T13:31:39.1 887.5 True 3.221186876296997 0.5846384763717651 5.509707450866699
32 2023-05-07T10:18:26.1 887.5 True 3.7501094341278076 0.6396762132644653 5.86251163482666
33 2023-05-21T11:27:17.7 887.5 True 3.468714952468872 0.5698434114456177 6.087136745452881
34 2023-06-03T10:30:27.3 887.5 True 3.8131508827209473 0.5788738131523132 6.587188243865967
35 2023-06-06T08:02:47.8 887.5 True 4.160209655761719 0.6460745334625244 6.439210414886475
37 2023-06-22T07:16:27.4 887.5 True 4.528715133666992 0.6356106400489807 7.124983310699463
38 2023-06-25T06:48:19.8 887.5 True 4.19155216217041 0.5538309216499329 7.568288326263428
40 2023-07-04T08:29:45.6 887.5 True 2.979020118713379 0.6805368065834045 4.377456188201904
41 2023-07-23T07:07:02.4 887.5 True 4.750352382659912 0.546310305595398 8.695337295532227
42 2023-08-09T05:00:44.8 887.5 True 3.949676275253296 0.7492023706436157 5.271841526031494
43 2023-08-28T03:49:12.5 887.5 True 3.523430585861206 0.5479649901390076 6.430028915405273
43 2023-09-11T03:51:44.0 887.5 True 4.317375183105469 0.5231174230575562 8.253166198730469
29 2022-04-10T13:46:23.5 887.5 True 5.179420471191406 0.5548210740089417 9.335298538208008
