Num;NAME;RAJD;DECJD;P0;P1;DM;TAU_SC;
80;J0121+53;20.25000000;53.48333333;2.724785;*;91.38;*;
81;J0122+1416;20.50545833;14.27138889;1.388994;3.80e-15;17.69;*;
82;J0125-2327;21.29166667;-23.45722222;0.003676;*;9.60;*;
83;J0125+62;21.50000000;62.58333333;1.708233;*;118.00;*;
84;J0131-7310;22.86879167;-73.16926111;0.348124;1.76e-15;205.22;*;
85;J0133-6957;23.38525000;-69.95824444;0.463474;1.20e-16;22.95;*;
86;J0134-2937;23.57784333;-29.62140056;0.136962;7.84e-17;21.81;*;
87;J0137+1654;24.34950000;16.91169444;0.414763;1.22e-17;26.08;*;
88;J0137+6349;24.30569116;63.82620927;0.717963;9.60e-16;285.50;*;
89;J0139+3336;24.98845833;33.61658333;1.247961;2.06e-15;21.23;*;
90;J0139+5621;24.91066667;56.36022222;1.775344;7.91e-14;101.84;*;
91;B0136+57;24.83225042;58.24217194;0.272451;1.07e-14;73.81;0.00;
92;B0138+59;25.41640900;60.15897317;1.222949;3.91e-16;34.93;0.00;
93;J0141+63;25.25000000;63.13333333;0.046686;*;272.80;*;
94;J0146+31;26.56250000;31.06666667;0.938100;*;25.00;*;
95;B0144+59;26.93601417;59.36757889;0.196321;2.57e-16;40.11;0.00;
96;B0148-06;27.84465792;-6.58416306;1.464665;4.43e-16;25.66;*;
97;J0152+0948;28.09887500;9.80277778;2.746647;1.70e-15;22.88;*;
98;B0149-16;28.04522458;-16.63156694;0.832742;1.30e-15;11.93;*;
99;J0154+1833;28.65367804;18.56409944;0.002365;2.92e-21;19.80;*;
100;B0153+39;29.23019206;39.82459228;1.811561;1.52e-16;59.83;*;
101;B0154+61;29.45809750;62.20740222;2.351745;1.89e-13;30.21;0.00;
102;J0158+21;29.62083333;21.13333333;0.505300;*;20.00;*;
103;J0201+7005;30.42226667;70.08836389;1.349184;5.51e-15;21.03;*;
104;J0203-0150;30.89130062;-1.83377428;0.005173;1.43e-20;19.22;*;
105;J0205+6449;31.40801029;64.82814842;0.065716;1.94e-13;140.70;*;
106;B0203-40;31.50538750;-40.46767222;0.630551;1.20e-15;12.90;*;
107;J0209+5759;32.40543333;57.99591944;1.063906;1.39e-14;55.28;*;
108;J0210+5845;32.73083333;58.75111111;1.766208;1.34e-13;76.77;*;
109;J0211-8159;32.99583333;-81.99338889;1.077333;2.90e-16;24.36;*;
110;J0212+5222;33.21724475;52.38041719;0.376386;6.60e-15;38.21;*;
111;J0214+5222;33.73029708;52.37804167;0.024575;2.99e-19;22.04;*;
112;J0215+6218;33.98594524;62.30927029;0.548880;6.62e-16;84.00;*;
113;J0218+4232;34.52649404;42.53815976;0.002323;7.74e-20;61.25;*;
114;J0220+3626;35.17550000;36.44880556;1.029700;*;40.00;*;
115;J0227+3356;36.73775000;33.94104444;1.240102;2.85e-15;27.00;*;
116;J0229+20;37.26250000;20.96666667;0.806900;*;27.00;*;
117;B0226+70;37.80832172;70.44274548;1.466820;3.11e-15;46.68;0.00;
118;J0241+16;40.44166667;16.06666667;1.545400;*;16.00;*;
119;J0242+62;40.64583333;62.94722222;0.592000;*;3.92;*;
120;J0243+6027;40.75000000;60.45000000;1.473000;*;141.00;*;
121;J0244+14;41.21250000;14.45000000;2.128100;*;31.00;*;
122;J0248+4230;42.12917917;42.50569167;0.002601;1.69e-20;48.26;*;
123;J0248+6021;42.07757083;60.35964444;0.217094;5.51e-14;370.00;*;
124;J0250+5854;42.57408333;58.90036111;23.535378;2.72e-14;45.28;*;
125;J0251+2606;42.76064042;26.10276944;0.002542;7.57e-21;20.22;*;
126;B0254-53;43.98455208;-53.07257639;0.447708;3.13e-17;15.90;*;
127;J0301+35;45.25000000;35.00000000;0.146800;*;57.43;*;
128;J0302+2252;45.63329167;22.87002778;1.207165;8.25e-17;18.99;*;
129;B0301+19;46.13797917;19.54761111;1.387584;1.30e-15;15.66;0.00;
130;J0305+11;46.27500000;11.38333333;0.862100;*;27.97;*;
131;J0307+7443;46.97916667;74.72000000;0.003160;*;6.35;*;
132;J0312-0921;48.02583333;-9.36555556;0.003704;1.97e-20;20.50;*;
133;J0317+13;49.47500000;13.48333333;1.974300;*;12.90;*;
134;J0318+0253;49.56475417;2.88374444;0.005190;1.76e-20;25.98;*;
135;B0320+39;50.86109125;39.74788972;3.032072;6.36e-16;26.19;0.00;
136;J0324+5239;51.23108333;52.65869444;0.336620;3.81e-16;115.46;*;
137;J0325+6744;51.27133070;67.74982995;1.364679;1.55e-15;65.28;*;
138;J0329+1654;52.28562500;16.90055556;0.893320;2.15e-16;40.82;*;
