TAU_SC_ERR,JNAME,DM,TAU_SC,DM_ERR
,J0417+61,70.14,,0.11
,J0418+5732,,,
,J0418+6635,77.6,,
,J0418-4154,24.325,,0.009
,J0419+44,71.0,,
,J0420-5022,,,
,J0421+3255,77.02,,0.06
,J0421-0345,44.61,,0.09
,J0426+4933,84.3,,0.2
,J0435+2749,53.19,,0.02
,J0437-4715,2.64476,,7e-05
,J0447-04,29.83,,0.04
,J0448-2749,26.22,,0.04
,J0449-7031,65.83,,0.07
7e-07,J0450-1248,37.041,2.92e-05,0.01
,J0451-67,45.0,,1.0
7e-08,J0452-1759,39.903,5.48e-06,0.003
,J0453+1559,30.3053,,0.0003
,J0454+4529,20.834,,0.002
2.5e-08,J0454+5543,14.59002,6.3e-08,0.00015
,J0455-6951,94.7,,0.02
,J0456-69,103.0,,1.0
,J0456-7031,100.3,,0.3
,J0457+23,59.0,,
,J0457-6337,27.5,,1.0
,J0457-69,91.0,,1.0
,J0458-0505,47.806,,0.032
,J0458-67,97.0,,2.0
,J0459-0210,21.02,,0.03
,J0501+4516,,,
7e-06,J0502+4654,41.834,0.000138,0.02
,J0502-6617,68.9,,0.3
,J0506+50,43.4,,
,J0509+0856,38.3271,,0.0008
,J0509+3801,69.0794,,0.0009
,J0511-6508,25.66,,0.08
,J0514-4002A,52.14016,,0.00037
,J0514-4002B,52.076,,0.003
,J0514-4002C,52.053,,0.005
,J0514-4002D,52.219,,0.005
,J0514-4002E,51.93,,0.003
,J0514-4002F,51.62,,0.009
,J0514-4002G,50.959,,0.003
,J0514-4002H,52.226,,0.006
,J0514-4002I,52.58,,0.03
,J0514-4002J,52.017,,0.007
,J0514-4002K,51.928,,0.002
,J0514-4002L,51.245,,0.003
,J0514-4002M,51.678,,0.014
,J0514-4002N,51.068,,0.004
,J0514-4408,15.122,,0.006
,J0517+2212,18.705,,0.014
,J0518+5125,39.244,,0.002
,J0518+5416,42.33,,0.005
,J0519+44,52.0,,
,J0519-6932,118.86,,0.02
,J0520-2553,33.77,,0.03
,J0521-68,136.0,,4.0
