TAU_SC_ERR,JNAME,DM,TAU_SC,DM_ERR
,J1312-6400,93.0,,1.2
,J1313+0931,12.040623,,4.3e-05
,J1314-6101,309.0,,13.0
0.025,J1316-6232,966.4,1.099,0.3
,J1317-0157,29.39,,0.003
,J1317-5759,145.3,,0.3
,J1317-6302,678.1,,1.2
,J1319-6056,400.94,0.00145,0.04
8e-05,J1319-6105,440.6,0.00705,0.1
,J1320+67,28.0,,0.3
,J1320-3512,16.42,,0.1
1.4e-06,J1320-5359,97.1,1.02e-05,0.1
,J1321+8323,13.31624,,0.00076
,J1321-5922,383.0,,2.0
,J1322-62,733.6,,
,J1322-6241,618.8,,1.9
,J1322-6329,659.0,,9.0
,J1324-6146,828.0,,9.0
,J1324-6302,497.0,,5.0
,J1326+33,4.19,,0.02
,J1326-4728A,100.313,,0.003
,J1326-4728B,100.273,,0.003
,J1326-4728C,100.684,,0.004
,J1326-4728D,96.542,,0.003
,J1326-4728E,94.3841,,0.0009
9e-06,J1326-5859,287.17,0.002176,0.02
1.2e-06,J1326-6408,502.7,0.000876,0.4
,J1326-6700,208.97,,0.07
,J1327-0755,27.91215,,6e-05
2e-06,J1327-6222,318.48,0.004276,0.01
,J1327-6301,294.91,,0.03
,J1327-6400,679.0,,1.0
,J1328-4357,42.0,,1.0
2.9e-06,J1328-4921,118.0,5.8e-06,2.0
,J1329+13,12.0,,2.0
,J1329-6158,514.0,,11.0
,J1331-5245,148.4,,0.3
,J1332-03,27.1,,0.2
,J1332-3032,15.1,,0.19
,J1333-4449,44.3,,1.7
,J1334+10,24.0,,0.04
,J1334-5839,119.2978,,0.0009
,J1335-3642,41.82,,0.1
,J1335-5656,,,
,J1336+33,8.5,,1.0
,J1336-2522,37.39,,0.12
,J1337-4441,97.8,,0.2
,J1337-6306,777.7,,1.7
,J1337-6423,259.891,,0.008
,J1338-6204,640.3,0.0282,0.7
,J1339-4712,39.9,,0.6
,J1339-6618,241.0,,3.0
,J1340-6456,76.99,,0.13
,J1341-6023,364.6,,0.9
0.0002,J1341-6220,719.65,0.0235,0.05
,J1342+2822A,26.5,,0.1
,J1342+2822B,26.148,,0.002
,J1342+2822C,26.5,,0.1
,J1342+2822D,26.358,,0.019
,J1342+2822E,26.541,,0.0
,J1342+2822F,26.467,,0.0
,J1343+6634,30.031,,0.003
,J1344-5855,294.1,,0.6
,J1344-6059,435.0,,7.0
,J1345-6115,278.1,,2.0
,J1346-4918,74.42,,0.07
,J1347-5947,293.4,,0.5
,J1348-6307,597.0,,3.0
0.0001,J1349-6130,283.87,0.0064,0.04
,J1349-63,478.0,,3.0
,J1350-5115,90.388,,0.008
,J1350-6225,,,
,J1352-6803,214.6,,0.2
,J1354+2454,20.0,,0.0
,J1354-6249,254.0,,17.0
,J1355-5153,112.1,,0.4
,J1355-5747,229.0,,3.0
,J1355-5925,354.8,,0.9
,J1355-6206,547.0,,3.0
,J1356-5521,174.172,,0.006
,J1357-62,416.7,,0.2
,J1357-6429,128.5,,0.7
,J1358-2533,31.27,,0.01
,J1358-6025,,,
5e-07,J1359-6038,293.736,0.0009582,0.003
,J1400+21,10.5,,1.0
,J1400-1431,4.932258,,3e-06
,J1400-6325,563.0,,0.1
,J1401-6357,98.0,,0.5
,J1402+13,,,
,J1402-5021,51.0,,9.0
,J1403-0314,31.0,,
,J1403-6310,305.0,,3.0
,J1403-7646,100.6,,0.1
,J1404+1159,18.499,,0.004
,J1405-4656,13.884,,0.003
,J1405-5641,273.0,,3.0
,J1406-4233,79.7,,0.8
,J1406-5806,229.0,,3.0
0.001,J1406-6121,537.29,0.048,0.08
,J1407-6048,575.2,,1.7
,J1407-6153,645.0,,9.0
,J1409-6953,167.63,,0.3
,J1410-6132,961.0,,0.3
,J1410-7404,54.24,,0.06
,J1411+2551,12.3737,,0.0003
,J1412+7922,,,
,J1412-6111,311.8,,0.9
0.0005,J1412-6145,512.48,0.0199,0.08
0.002,J1413-6141,667.6,0.042,0.06
,J1413-6205,,,
,J1413-6222,808.1,,1.2
,J1413-6307,121.98,,0.06
,J1414-6802,153.5,,0.6
,J1415-6621,260.17,,0.07
,J1416-5033,58.5,,0.3
,J1416-6037,289.2,,1.0
,J1417-4402,55.0,,0.03
,J1418-3921,60.49,,0.01
,J1418-5945,369.0,,15.0
,J1418-6058,,,
,J1420-5416,129.6,,1.2
,J1420-5625,64.485,,0.005
,J1420-6048,360.15,,0.06
,J1421-4409,54.6403,,0.0005
,J1422-6138,,,
,J1423-6953,123.98,,0.12
,J1424-5556,198.7,,2.0
,J1424-56,32.9,,1.1
,J1424-5822,323.9,,0.6
,J1424-6438,248.0,,5.0
,J1425-5723,43.4,,1.3
,J1425-5759,325.0,,5.0
,J1425-6210,430.1,,1.7
,J1426+52,25.37,,0.02
,J1427-4158,65.4,,0.2
,J1428-5530,82.4,,0.6
,J1429-5911,,,
,J1429-5935,456.7,,2.0
,J1430+22,23.32,,0.0
,J1430-5712,149.0,,4.0
,J1430-6623,65.102,,0.004
,J1431-4715,59.3473,,0.0009
,J1431-5740,131.3766,,0.0006
,J1431-6328,228.27,,0.02
,J1432-5032,113.0,,1.0
,J1433+00,23.5,,
,J1433-6038,409.0,,2.0
,J1434+7257,12.605,,0.001
,J1434-5943,126.0,,3.0
,J1434-6006,332.0,,4.0
,J1434-6029,282.0,,3.0
,J1435-5954,44.26,,0.11
,J1435-6100,113.7819,,0.0002
,J1437-5959,549.6,,0.1
,J1437-6146,200.5,,1.3
,J1439+7655,22.29,,0.02
,J1439-5501,14.565,,0.008
,J1440-6344,124.2,,0.5
,J1441-6137,166.0,,3.0
,J1443-5122,87.0,,0.7
,J1444-5941,177.1,,1.9
,J1444-6026,367.7,,1.4
,J1446-4701,55.82787,,6e-05
,J1447-5757,,,
,J1449-5846,216.6,,1.8
,J1452-5851,260.5,,0.2
,J1452-6036,349.525,,0.001
,J1453+1902,14.057,,0.002
,J1453-6413,71.248,,0.002
,J1454-5846,116.091,,0.002
,J1455-3330,13.5697,,0.0002
,J1455-59,498.0,,
,J1456-48,133.0,,
,J1456-6843,8.613,9.8e-09,0.004
,J1457-5122,37.0,,5.0
,J1457-5900,175.0,,4.0
,J1457-5902,477.2,,1.9
,J1459-6053,,,
,J1501-0046,22.2584,,0.009
,J1501-5637,258.0,,10.0
,J1502+28,14.0,,1.5
,J1502+4653,26.6,,0.5
,J1502-5653,194.0,,0.4
,J1502-5828,584.0,,4.0
,J1502-6128,256.5,,1.4
,J1502-6752,152.242,,0.006
,J1503+2111,3.2603,,0.0041
,J1504-5621,148.6,,0.1
,J1504-5659,454.2,,1.1
,J1505-25,44.7,,0.3
,J1506-5158,61.0,,1.7
,J1507-4352,48.7,,0.5
,J1507-5800,429.5,,0.5
,J1507-6640,129.8,,0.5
2.1e-08,J1509+5531,19.6191,3.3e-08,0.0003
,J1509-5850,142.1,,0.1
,J1509-6015,423.6,,1.7
,J1510-4422,84.0,,7.0
,J1511-5414,84.76,,0.17
0.0005,J1511-5835,329.4,0.0233,0.2
,J1512-5431,219.0,,6.0
2e-05,J1512-5759,627.47,0.00714,0.01
,J1513-2550,46.8765,,0.0003
,J1513-5739,469.7,,1.0
,J1513-5908,252.5,,0.3
,J1513-5946,171.7,,0.9
,J1513-6013,322.7,,1.6
,J1514-4834,51.5,,0.8
,J1514-4946,31.00857,,8e-05
,J1514-5316,27.1,,0.3
0.0006,J1514-5925,192.51,0.0167,0.08
,J1515-5720,480.6,,0.4
,J1516-43,70.3,,
,J1517-32,25.3,,0.02
,J1517-4356,87.78,,0.12
,J1517-4636,127.0,,0.1
,J1518+0204A,30.08,,0.05
,J1518+0204B,29.47,,0.11
,J1518+0204C,29.3146,,0.0006
,J1518+0204D,29.3,,0.1
,J1518+0204E,29.3,,0.1
,J1518+0204F,29.4,,0.0
,J1518+4904,11.61139,,8e-05
,J1518-0627,27.9631,,0.0098
,J1518-3952,102.4,,0.13
,J1518-5415,167.2,,0.2
0.007,J1519-5734,654.7,0.118,0.4
,J1519-6106,221.0,,3.0
,J1519-6308,250.0,,3.0
,J1522-5525,79.0,,3.0
,J1522-5735,,,
,J1522-5829,199.9,0.00257,0.2
,J1523-3235,72.3,,0.9
,J1524-20,40.1,,0.0
,J1524-5625,152.2,,0.1
,J1524-5706,832.0,,1.0
,J1524-5819,406.6,,0.5
,J1525-5417,235.0,,3.0
,J1525-5523,124.7,,0.3
,J1525-5545,126.964,,0.0014
,J1525-5605,333.5,,0.4
,J1526-2744,,,
,J1526-5633,329.0,,4.0
,J1527-3931,48.8,,0.6
4e-05,J1527-5552,370.06,0.00043,0.05
,J1528-3146,18.163,,0.006
,J1528-4109,89.5,,0.1
,J1528-5547,269.0,,
,J1528-5838,,,
,J1529+40,6.61,,0.16
,J1529-26,44.6,,0.2
,J1529-3828,73.655,,0.002
,J1529-5355,292.0,,9.0
,J1529-5611,149.0,,10.0
,J1530-21,38.05,,0.13
,J1530-5327,49.6,,0.1
,J1530-6343,206.0,,
,J1531-4012,106.65,,0.12
,J1531-5610,110.41,,0.03
3.1e-08,J1532+2745,14.691,6.3e-08,0.016
,J1532-5308,181.0,,3.0
,J1532-56,282.0,,
,J1534-4428,137.3,,0.2
,J1534-46,64.4,,7.8
,J1534-5334,24.82,,0.01
,J1534-5405,190.82,,0.02
,J1535-4114,66.28,,0.14
,J1535-4415,110.7,,0.5
,J1535-5450,219.8,,1.4
,J1535-5848,107.0,,0.7
,J1536+17,28.0,,3.0
,J1536-30,63.6,,0.5
,J1536-3602,86.8,,0.3
,J1536-4948,38.00125,,4e-05
,J1536-5433,147.5,,1.9
,J1536-5907,316.0,,2.0
,J1537+1155,11.61944,,2e-05
,J1537-4912,69.7,,1.4
,J1537-5153,93.0,,4.0
,J1537-5312,117.687,,0.004
,J1537-5645,707.0,,5.0
,J1538+2345,14.909,,0.001
,J1538-5438,136.9,,1.7
,J1538-5519,611.0,,3.0
0.002,J1538-5551,602.67,0.022,0.06
,J1538-5621,150.0,,18.0
,J1538-5638,546.0,,7.0
,J1538-5732,152.7,,0.8
,J1538-5750,91.0,,4.0
,J1539-4828,117.0,,5.0
,J1539-5521,380.0,,5.0
,J1539-5626,175.85,,0.03
,J1539-6322,163.5,,0.3
,J1540-5736,304.5,,1.3
,J1541-42,60.0,,10.0
,J1541-5535,426.1,,0.1
,J1542-5034,91.0,,0.6
,J1542-5133,186.0,,4.0
,J1542-5303,265.7,,1.2
1.9e-07,J1543+0929,34.9758,5e-07,0.0016
,J1543-0620,18.3,9.1e-09,0.2
,J1543-5013,211.0,,3.0
,J1543-5149,50.982,,0.0004
0.0008,J1543-5459,344.99,0.0362,0.03
,J1544+4937,23.2258,,0.0001
,J1544-0713,30.73,,0.12
,J1544-5308,35.16,,0.07
,J1545-4550,68.3884,,0.0002
,J1546-3747A,92.17,,0.04
,J1546-5302,287.0,,3.0
,J1546-5925,168.282,,0.003
,J1547-0944,37.416,,0.022
,J1547-5709,95.7221,,0.0004
,J1547-5750,148.0,,4.0
,J1547-5839,222.3,,1.2
,J1548-4821,126.0,,0.5
,J1548-4927,141.2,,0.6
,J1548-5607,314.66,,0.07
,J1549+2113,24.0553,,0.0036
,J1549-4848,55.983,,0.008
,J1549-57,17.7,,3.5
,J1549-5722,102.0,,4.0
,J1550-5242,337.7,,1.8
,J1550-5317,600.0,,8.0
,J1550-5418,830.0,,50.0
,J1551-0658,21.6,,
,J1551-4424,66.5,,0.4
0.005,J1551-5310,491.6,0.131,0.7
,J1551-6214,122.0,,
,J1552+5437,22.9,,0.0005
,J1552-4937,113.803,,0.002
,J1553-5456,210.0,,7.0
,J1554+18,24.0,,
,J1554-5209,130.8,,0.3
,J1554-5512,450.0,,12.0
,J1555+01,18.5,,1.5
,J1555-0515,23.46,,0.03
,J1555-2341,51.901,,0.015
,J1555-2908,75.91,,
,J1555-3134,73.045,,0.007
,J1556-5358,436.0,,3.0
2.2e-06,J1557-4258,144.497,3.87e-05,0.002
,J1557-5151,464.0,,3.0
,J1558-5419,657.0,,3.0
,J1558-5756,127.8,,1.0
,J1558-67,105.0,,
,J1559-44,122.0,,
,J1559-4438,55.94,,0.05
,J1559-5545,212.9,,0.3
,J1600-3053,52.3282,,0.0002
4e-06,J1600-5044,262.791,0.005954,0.004
,J1600-5751,176.55,,0.08
,J1600-5916,177.0,,4.0
,J1601-50,59.0,,
,J1601-5244,273.0,,3.0
,J1601-5335,195.2,,0.6
,J1602+3901,17.259,,0.0002
,J1602-4957,319.0,,4.0
1.7e-06,J1602-5100,170.79,0.0005878,0.01
,J1603+18,29.7,,
,J1603-1655,63.22,,0.0
,J1603-2531,53.763,,0.004
,J1603-2712,46.201,,0.016
,J1603-3539,77.5,,0.4
,J1603-5312,142.0,,3.0
,J1603-5657,264.07,,0.02
,J1603-7202,38.0497,,0.0008
,J1604-3142,58.3,,0.2
,J1604-44,175.0,,
,J1604-4718,55.1,,0.08
2.9e-07,J1604-4909,140.8,1.294e-05,0.5
,J1604-7203,54.37,,0.005
,J1605+3249,,,
,J1605-5215,532.0,,4.0
,J1605-5257,34.9,,0.06
,J1607-0032,10.6823,4.8e-09,0.0001
,J1607-5140,533.0,,3.0
,J1607-6449,89.39,,0.07
,J1609-1930,37.0,,7.0
,J1609-4616,150.1,,0.6
,J1609-5158,1069.0,,8.0
,J1610-1322,49.13,,0.08
,J1610-17,52.5,,3.0
0.001,J1610-5006,410.0,0.124,0.2
,J1610-5303,380.1,,0.8
,J1611-01,27.21,,0.07
,J1611-29,83.033,,0.004
,J1611-4811,221.0,,8.0
,J1611-4949,556.8,,1.8
,J1611-5209,127.345,,0.009
,J1611-5847,79.9,,1.3
,J1612+2008,19.5082,,0.0032
,J1612-2408,49.2,,0.2
,J1612-49,439.0,,5.0
,J1612-5022,248.7,,1.5
,J1612-5136,1173.0,,12.0
,J1612-55,312.0,,8.0
,J1612-5805,171.3,,0.4
7e-06,J1613-4714,161.2,5.1e-05,0.3
,J1613-5211,360.1,,2.0
,J1613-5234,624.0,,4.0
3.1e-08,J1614+0737,21.3949,6.3e-08,0.0003
,J1614-2230,34.485,,0.0003
,J1614-23,52.4,,0.014
,J1614-3846,111.0,,
2.2e-06,J1614-3937,152.44,3.21e-05,0.02
,J1614-5048,582.4,0.0355,0.1
,J1614-5144,748.0,,13.0
,J1614-5402,300.0,,4.0
,J1615-2940,44.79,,0.14
,J1615-4958,240.7,,0.6
,J1615-5137,,,
,J1615-5444,312.6,,0.5
,J1615-5537,124.48,,0.08
,J1616-5017,194.0,,4.0
,J1616-5109,1160.0,,15.0
,J1616-5208,488.0,,3.0
,J1617-4216,163.6,,0.5
,J1617-4608,321.5,,1.2
,J1617-5055,467.0,,5.0
,J1618-36,104.0,,
,J1618-3921,117.9312,,0.0007
,J1618-4624,125.4068,,0.0011
,J1618-4723,134.7,,0.3
,J1619-3345,89.7,,0.0
,J1619-42,172.0,,
,J1620-4927,,,
,J1620-5414,71.0,,8.0
,J1621-5039,261.0,,3.0
,J1621-5243,363.0,,4.0
,J1622-0315,21.4,,
,J1622-3751,155.7,,0.2
,J1622-4332,230.68,,0.02
,J1622-4347,177.0,,3.0
,J1622-4802,364.3,,1.3
,J1622-4845,292.0,,7.0
,J1622-4944,755.0,,4.0
,J1622-4950,820.0,,30.0
,J1622-6617,88.0049,,0.0012
,J1623-0841,59.79,,0.02
,J1623-0908,68.183,,0.01
,J1623-2631,62.8633,,0.0005
4e-05,J1623-4256,295.0,0.00038,5.0
,J1623-4949,183.3,,1.0
,J1623-5005,,,
,J1624+5850,26.403,,0.002
,J1624+8643,46.55,,0.1
,J1624-39,77.5,,
,J1624-4041,,,
,J1624-4411,139.4,,1.4
,J1624-4613,224.2,,1.9
,J1624-4721,364.0,,5.0
,J1625-0021,16.497,,
1.4e-05,J1625-4048,145.0,2.9e-05,6.0
,J1625-4904,684.8,,1.7
,J1625-4913,720.0,,1.0
,J1626-44,269.2,,
,J1626-4537,237.0,,0.7
,J1626-4807,817.0,,6.0
,J1626-6621,84.11,,0.05
,J1627+1419,32.16696,,0.00084
,J1627+3219,,,
,J1627-4706,456.1,,1.8
,J1627-4845,557.8,,0.7
,J1627-49,594.0,,16.0
,J1627-51,201.0,,4.0
,J1627-5547,166.2,,0.9
,J1627-5936,99.3,,0.2
,J1628+4406,7.32981,,2e-05
,J1628-3205,42.1,,
,J1628-4804,952.0,,3.0
,J1628-4828,1209.0,,15.0
,J1629+33,35.0,,0.4
,J1629+43,7.37,,0.05
,J1629-3636,101.0,,1.0
,J1629-3825,127.9,,0.1
,J1629-6902,29.4948,,0.0002
,J1630+3550,17.45494,,8e-05
,J1630+3734,14.18009,,7e-05
,J1630-2609,76.6,,1.3
9e-05,J1630-4719,487.2,0.00571,0.1
0.002,J1630-4733,509.3,0.34,0.2
,J1631-1612,33.77,,0.02
,J1631-4155,235.0,,4.0
,J1632-1013,89.9,,0.2
,J1632-4509,412.0,,4.0
7e-05,J1632-4621,559.83,0.01685,0.07
,J1632-4757,574.2,,0.5
,J1632-4818,758.0,,5.0
,J1633-2009,48.19,,0.06
8e-05,J1633-4453,472.22,0.01959,0.03
,J1633-4805,1120.0,,9.0
,J1633-5015,398.41,0.0049,0.08
,J1634+02,,,
,J1634-4229,337.9,,1.0
,J1634-49,649.0,,12.0
,J1634-5107,372.8,,2.0
,J1634-5640,148.0,,0.1
,J1635+2332,37.568,,0.006
6e-08,J1635+2418,24.2671,1.6e-07,0.0044
,J1635-1511,54.0,,8.0
,J1635-4513,416.0,,5.0
,J1635-4735,,,
,J1635-4944,474.0,,6.0
,J1635-5954,134.9,,1.3
,J1636-2614,92.72,,0.13
,J1636-4440,449.0,,1.0
,J1636-4803,503.0,,7.0
,J1636-4933,542.7,,1.5
,J1637-4335,608.0,,8.0
,J1637-4450,470.7,,0.8
,J1637-4553,193.23,,0.07
,J1637-46,660.4,,
,J1637-4642,419.1,,0.3
,J1637-4721,448.0,,7.0
,J1637-4816,738.0,,2.0
,J1638+4005,33.417,,0.001
,J1638-35,115.1,,0.2
,J1638-3815,238.0,,1.1
,J1638-3951,249.0,,4.0
,J1638-4233,406.0,,
,J1638-4344,237.0,,3.0
,J1638-44,494.0,,5.0
,J1638-4417,436.4,,0.3
0.001,J1638-4608,423.1,0.017,0.1
,J1638-4725,552.1,,1.4
,J1638-5226,170.1,,1.5
,J1639-4359,258.9,,1.6
7e-06,J1639-4604,258.91,0.00019,0.04
,J1640+2224,18.42881,,0.00012
,J1640-4631,,,
,J1640-4648,474.0,,3.0
0.001,J1640-4715,586.32,0.056,0.06
0.0006,J1640-4951,407.4,0.0144,0.2
4e-08,J1641+3627A,30.4386,1.3e-07,0.0005
,J1641+3627B,29.4456,,0.0006
,J1641+3627C,30.132,,0.0002
,J1641+3627D,30.451,,0.003
,J1641+3627E,30.54,,0.02
,J1641+3627F,30.366,,0.004
,J1641+8049,31.0896,,3e-05
,J1641-2347,27.7,,0.3
,J1641-5317,,,
,J1643+1338,35.821,,0.001
,J1643-1224,62.3975,,0.0004
,J1643-4505,478.6,,0.6
,J1643-4522,482.0,,4.0
,J1643-4550,450.8,,1.7
,J164310,75.85,,0.02
,J1644-33,130.3,,0.1
,J1644-44,535.1,,
5e-05,J1644-4559,478.66,0.01016,0.04
,J1644-46,405.8,,
,J1644-4657,718.0,,6.0
,J1645+1012,36.17129,,0.00019
3.1e-08,J1645-0317,35.7555,9.4e-08,0.0008
,J1646-1910,55.0,,6.0
,J1646-2142,29.735,,0.006
,J1646-4308,595.0,,15.0
,J1646-4346,490.4,0.0229,0.3
,J1646-5123,279.0,,3.0
,J1646-6831,43.0,,2.0
,J1647+6608,22.55,,0.07
,J1647-3607,228.5,,0.05
,J1647-4552,,,
2.2e-06,J1648-3256,128.278,3.21e-05,0.006
,J1648-4458,925.0,,6.0
,J1648-4611,392.3,,0.3
,J1648-6044,106.2,,0.1
,J1649+2533,34.4622,,0.0078
,J1649-3012,,,
,J1649-3805,213.8,,0.5
,J1649-3935,290.0,,7.0
,J1649-4349,398.6,,1.2
,J1649-4653,331.0,,1.0
,J1649-4729,540.2,,1.8
,J1649-5553,180.4,,1.1
,J1650-1654,43.25,,0.15
,J1650-4126,251.5,,0.5
0.007,J1650-4341,672.8,0.066,0.4
,J1650-4502,320.2,,0.3
,J1650-4601,,,
,J1650-4921,229.3,,0.3
,J1651+14,48.0,,10.0
,J1651-1709,33.46,,0.06
,J1651-4246,482.0,,3.0
,J1651-4519,562.0,,6.0
2.9e-06,J1651-5222,179.1,4.89e-05,0.6
,J1651-5255,164.0,,2.0
,J1651-7642,59.9,,0.9
6e-08,J1652+2651,40.80244,2.5e-07,0.00017
,J1652-1400,49.5,,1.3
,J1652-2404,68.41,,0.03
,J1652-4406,786.0,,10.0
,J1652-4838,188.1559,,0.0008
,J1653-0158,,,
,J1653-2054,56.5213,,0.0003
,J1653-3838,207.2,0.00204,0.2
,J1653-4030,425.0,,8.0
,J1653-4105,419.4,,1.2
0.0002,J1653-4249,416.1,0.0209,1.1
,J1653-4315,337.0,,6.0
,J1653-45,207.0,,9.0
,J1653-4854,354.0,,6.0
,J1654-23,74.5,,2.5
,J1654-26,103.3,,0.2
,J1654-2713,92.31,,0.12
,J1654-3710,302.0,,1.2
,J1654-4140,307.0,,3.0
,J1654-4245,950.0,,1.0
,J1655-3048,154.1,,0.14
,J1655-3844,365.0,,11.0
,J1656+00,46.9,,
,J1656+6203,35.262,,0.003
,J1656-3621,229.0,,3.0
,J1657+3304,23.9746,,0.0006
,J1657-0406A,43.9,,0.0
,J1657-0406B,43.355,,0.0
,J1657-4432,375.3,,1.6
,J1658+3630,3.04387,,3e-05
,J1658-2823,85.5,,0.0
,J1658-4306,845.0,,11.0
,J1658-47,533.0,,5.0
,J1658-4958,193.4,,1.3
,J1658-5324,30.8301,,0.0006
,J1659-1305,60.37,,0.07
,J1659-4316,640.9,,2.0
,J1659-4439,535.0,,3.0
,J1659-54,134.0,,15.0
,J1700-0954,64.1,,1.1
7e-06,J1700-3312,166.97,2.9e-05,0.09
,J1700-3611,232.7,,1.2
,J1700-3919,354.3,,1.8
,J1700-4012,385.0,,4.0
0.004,J1700-4422,404.9,0.075,0.9
,J1700-4939,278.0,,3.0
,J1701-3006A,114.9654,,0.0084
,J1701-3006B,115.21,,0.38
,J1701-3006C,114.5619,,0.0069
,J1701-3006D,114.224,,0.011
,J1701-3006E,113.792,,0.022
,J1701-3006F,113.291,,0.034
,J1701-3006G,113.679,,0.007
,J1701-3130,130.73,,0.06
0.0004,J1701-3726,303.4,0.004,0.5
,J1701-4533,526.0,0.00912,0.6
,J1701-4958,230.0,,5.0
,J1702-3932,530.0,,4.0
0.0007,J1702-4128,365.75,0.0255,0.08
,J1702-4217,629.0,,5.0
,J1702-4306,538.4,,0.5
,J1702-4310,377.6,,0.3
,J1702-4428,395.0,,8.0
,J1703-18,46.0,,
,J1703-1846,49.551,,0.015
7e-07,J1703-3241,110.306,3.43e-05,0.014
,J1703-38,375.0,,12.0
,J1703-4442,280.2,,1.9
7e-06,J1703-4851,150.29,7.3e-05,0.03
,J1704-3756,405.7,,0.6
,J1704-5236,170.0,,
,J1704-6016,54.0,,5.0
,J1705-04,42.951,,0.009
,J1705-1903,57.50473,,7e-05
,J1705-1906,22.907,,0.003
2.2e-05,J1705-3423,146.4,0.000299,0.07
,J1705-3936,598.0,,5.0
1.1e-05,J1705-3950,207.25,0.004846,0.01
,J1705-4108,1077.0,,6.0
,J1705-4331,185.24,,0.05
,J1705-6135,95.0,,5.0
,J1706+59,30.8,,0.4
,J1706-3839,626.0,,7.0
,J1706-4310,656.1,,1.8
,J1706-4434,467.0,,0.6
,J1706-6118,76.13,,0.06
,J1707+35,19.24,,0.007
0.0002,J1707-4053,351.78,0.0952,0.08
,J1707-4341,398.2,,0.8
,J1707-4417,380.0,,10.0
,J1707-4729,268.3,,0.4
,J1708+02,29.0,,
9e-05,J1708-3426,188.7,0.00087,0.2
,J1708-3506,146.7636,,0.0014
,J1708-3641,316.0,,3.0
,J1708-3827,788.0,,3.0
,J1708-4008,,,
,J1708-4522,454.0,,3.0
,J1708-52,102.6,,
,J1708-7539,37.0,,5.0
,J1709+2313,25.3474,,0.0002
4e-08,J1709-1640,24.891,8e-08,0.001
,J1709-3626,393.6,,1.1
,J1709-3841,356.0,,3.0
,J1709-43,228.0,,20.0
,J1709-4342,281.0,,14.0
,J1709-4401,225.8,,0.4
,J1709-4429,75.593,,0.003
,J1710+4923,7.08493,,2e-05
,J1710-2616,110.0,,0.2
,J1710-37,346.0,,15.0
,J1710-4148,461.0,,3.0
,J1711-1509,59.88,,0.03
,J1711-3826,376.0,,7.0
,J1711-4322,191.5,,0.7
,J1711-5350,106.1,,0.7
,J1712-2715,91.78,,0.07
,J1712-391,525.0,,3.0
,J1712-392,713.0,,3.0
6e-09,J1713+0747,15.9904,1.3e-08,0.0005
,J1713+7810,36.977,,0.003
,J1713-3844,544.0,,5.0
,J1713-3949,342.0,,2.0
,J1714-1054,51.0,,3.0
,J1714-3810,,,
,J1714-3830,,,
,J1715+46,19.82,,0.05
,J1715-3247,164.0,,3.0
,J1715-3700,449.0,,11.0
0.009,J1715-3859,806.2,0.228,0.6
,J1715-3903,314.0,,0.6
,J1715-4034,254.0,,7.0
,J1715-4254,407.0,,9.0
,J1716+34,,,
,J1716-3720,682.7,,1.7
,J1716-4005,435.0,,3.0
,J1716-4111,245.8,,0.5
,J1716-4711,287.06,,0.06
,J1717+03,25.6,,
,J1717+4308A,35.45,,
2e-05,J1717-3425,583.46,0.01982,0.01
0.0005,J1717-3737,522.7,0.0357,0.05
,J1717-3847,707.0,,6.0
,J1717-3953,466.0,,8.0
,J1717-4043,452.6,,1.2
,J1717-40435,539.0,,5.0
,J1717-4054,306.9,0.021,0.1
,J1717-5800,125.22,,0.14
,J1718-3714,833.0,,21.0
,J1718-3718,371.1,,1.7
,J1718-3825,247.46,,0.06
,J1718-41,354.0,,7.0
,J1718-4539,254.0,,6.0
,J1719-1438,36.7752,,0.0005
,J1719-2330,101.0,,
,J1719-3458,530.0,,0.3
9e-05,J1719-4006,386.12,0.0051,0.04
,J1719-4302,297.7,,0.6
,J1720+00,46.2,,
,J1720+2150,40.719,,0.035
,J1720-0212,66.98,,0.04
,J1720-1633,44.83,,0.03
,J1720-2446,104.3,,0.2
,J1720-2933,42.64,,0.03
,J1720-36,341.0,,1.0
0.0002,J1720-3659,378.97,0.0126,0.03
,J1721-1936,75.7,,0.3
,J1721-1939,103.0,,2.0
,J1721-2457,48.2341,,0.0006
0.0007,J1721-3532,496.82,0.1134,0.04
,J1722+35,23.83,,0.06
1.4e-06,J1722-3207,126.064,0.0001016,0.008
,J1722-3632,416.2,0.00977,0.2
,J1722-3712,99.49,,0.03
,J1722-4400,219.3,,0.5
,J1723-2837,19.688,,0.013
,J1723-2852,172.0,,6.0
7e-06,J1723-3659,254.4,0.002381,0.1
,J1723-38,472.0,,2.0
0.002,J1724-3149,400.8,0.04,0.3
,J1724-35,554.9,,9.9
,J1724-3505,875.0,,3.0
,J1724-4500,182.0,,3.0
,J1725-0732,58.72,,0.06
,J1725-2852,161.0,,10.0
0.002,J1725-3546,738.3,0.05,0.4
,J1725-3848,230.0,,11.0
,J1725-3853,158.2,,0.7
,J1725-4043,203.0,,3.0
,J1726-00,57.0,,
,J1726-31,264.4,,
,J1726-3530,718.0,,4.0
,J1726-3635,539.2,,0.7
,J1726-4006,277.0,,3.0
,J1726-52,119.7,,
,J1727-1609,,,
,J1727-2739,146.0,,0.3
,J1727-29,93.0,,10.0
,J1727-2946,60.7336,,0.0014
,J1727-2951,215.1,,0.3
,J1728-0007,41.09,,0.03
,J1728-3733,281.5,,0.7
,J1728-4028,231.0,,10.0
,J1729-2117,34.22,,0.02
