I;NAME;RAJD;DECJD;DM;RM;
186;J0824+0028;126.10350092;0.46682417;34.55;38.70;
187;B0823+26;126.71461167;26.62258250;19.48;5.38;
188;B0826-34;127.06927293;-34.28529102;51.60;59.00;
189;J0831-4406;127.88512500;-44.10330556;254.00;509.00;
190;J0834-4159;128.57419583;-41.99333056;240.50;-377.00;
191;J0835-3707;128.76283333;-37.13097222;112.40;62.80;
192;B0833-45;128.83588121;-45.17635419;67.77;31.38;
193;B0834+06;129.27350833;6.17071111;12.86;25.32;
194;B0835-41;129.33830958;-41.58737861;147.20;144.50;
195;J0838-2621;129.57833750;-26.35820833;116.90;96.00;
196;B0839-53;130.14052500;-53.54331944;156.50;81.00;
197;B0840-48;130.52268458;-48.85572222;196.85;145.00;
198;J0843+0719;130.89091667;7.31327778;36.60;40.00;
199;J0843-5022;130.79118333;-50.37863889;178.47;190.00;
200;B0844-35;131.52516667;-35.56144444;94.16;136.50;
201;J0849-6322;132.42745833;-63.37638889;91.29;-125.00;
202;B0841+80;132.25628211;80.48308960;34.81;-21.78;
203;J0854+5449;133.60718958;54.82466167;18.84;-8.80;
204;B0853-33;133.91005628;-33.52758448;86.64;165.00;
205;J0855-4644;133.90075000;-46.73705556;236.40;225.00;
206;J0855-4658;133.83154167;-46.97294444;472.70;350.00;
207;B0855-61;134.24695833;-61.63130833;95.00;-70.00;
208;J0857-4424;134.48263333;-44.40295833;184.43;165.00;
209;J0900-3144;135.18313787;-31.74191533;75.69;85.42;
210;J0901-4624;135.41716667;-46.41347222;199.30;267.00;
211;B0901-63;135.63500000;-63.42000000;72.72;-59.20;
212;B0903-42;136.24617917;-42.77038889;145.80;284.00;
213;B0904-74;136.04362500;-74.99491667;51.10;14.00;
214;J0905-4536;136.34958333;-45.61472222;196.20;153.00;
215;J0905-5127;136.46650000;-51.46501389;196.43;291.00;
216;J0905-6019;136.31352083;-60.32279444;91.40;-63.00;
217;B0905-51;136.81625417;-51.96648889;103.72;-23.30;
218;B0906-17;137.15909250;-17.66046389;15.88;-32.10;
219;B0906-49;137.14775000;-49.21805556;180.44;10.00;
220;B0909-71;137.39920833;-72.20248333;54.30;-18.00;
221;J0912-3851;138.17791667;-38.85083333;71.50;85.00;
222;J0921-5202;140.49949375;-52.04401944;122.40;-179.00;
223;B0917+63;140.30889747;62.90386409;13.15;-14.56;
224;B0919+06;140.55842500;6.63980556;27.30;29.20;
225;J0922-4949;140.56233750;-49.82002222;237.10;-15.00;
226;B0922-52;141.03634167;-53.04516667;152.90;150.00;
227;B0923-58;141.12841667;-58.23475000;57.40;-45.00;
228;J0925+6103;141.32310458;61.05114000;21.64;-18.28;
229;J0927+2345;141.93858333;23.75297222;17.24;-8.00;
230;J0931-1902;142.82965478;-19.04861884;41.49;-100.24;
231;J0932-3217;143.16312500;-32.28727778;102.10;241.00;
232;B0932-52;143.61765417;-52.82425000;100.00;18.00;
233;J0940-5428;145.24258333;-54.47794444;134.55;-31.00;
234;J0941-5244;145.42144583;-52.73457778;157.94;-243.00;
235;B0940-55;145.56200000;-55.88197222;180.16;-61.90;
236;B0941-56;145.72676667;-56.96200278;159.74;135.00;
237;B0940+16;145.87541667;16.52694444;20.34;17.36;
238;J0943+2253;145.88498958;22.88490556;27.25;16.43;
239;B0942-13;146.12064958;-13.91156389;12.50;-7.00;
240;J0944+4106;146.07557733;41.10126386;21.41;4.53;
241;J0945-4833;146.40939167;-48.55402778;98.10;-1.10;
242;B0943+10;146.53166667;9.86527778;15.32;14.10;
243;J0947+2740;146.83869583;27.67875000;29.09;23.25;
244;J0949-6902;147.33569583;-69.04488889;93.00;-58.00;
245;B0950-38;148.07166667;-38.65283333;162.88;331.70;
246;B0950+08;148.28879042;7.92659722;2.97;-0.66;
247;J0954-5430;148.52519167;-54.51467222;201.57;86.00;
248;B0953-52;148.87275417;-53.07128889;156.90;-97.00;
249;J0955-6150;148.80000000;-61.83333333;160.90;-49.00;
250;J0957-5432;149.48337500;-54.53441667;226.10;125.00;
251;B0957-47;149.85921667;-48.16318611;92.70;50.00;
252;J1000-5149;150.11725417;-51.83281111;72.80;46.00;
253;B0959-54;150.40770833;-55.11883333;130.32;297.00;
254;J1001-5559;150.28583333;-55.98338889;159.30;112.00;
255;B1001-47;150.83970417;-47.78366389;98.49;52.00;
256;B1010-23;153.14052652;-23.63956138;22.51;52.00;
257;J1012-4235;153.05392083;-42.59817778;71.65;61.80;
258;J1012+5307;153.13932687;53.11729541;9.02;2.60;
259;B1011-58;153.20195833;-58.96347222;383.90;39.00;
260;J1013-5934;153.38270000;-59.57406389;379.78;-97.00;
261;J1015-5719;153.90816667;-57.32022222;278.10;110.00;
262;B1014-53;154.12972917;-53.75396111;66.80;-21.00;
263;J1016-5819;154.05029583;-58.31696389;252.16;92.00;
264;J1016-5857;154.08816667;-58.95336111;394.48;-520.00;
265;B1015-56;154.30346250;-56.35847778;438.70;332.80;
266;J1017-7156;154.46383654;-71.94489308;94.21;-63.36;
267;J1019-5749;154.96725000;-57.81830556;1040.00;-334.00;
268;J1020-5921;155.05845833;-59.35944444;80.00;-60.00;
269;J1020-6026;155.04754167;-60.43508333;446.00;-721.00;
270;J1022+1001;155.74164348;10.03129866;10.26;1.39;
271;J1024-0719;156.16113071;-7.32208671;6.49;-2.95;
272;J1028-5819;157.11666667;-58.31811111;96.53;-5.00;
273;B1030-58;158.02031667;-59.19855556;418.20;100.00;
274;J1034-3224;158.58129582;-32.40721690;50.75;-43.00;
275;J1035-6345;158.76283333;-63.75511389;189.70;-32.00;
276;J1035-6720;158.86449167;-67.33685889;84.17;-53.00;
277;J1036-4926;159.05467083;-49.43922222;136.52;-11.00;
278;J1036-6559;159.08350000;-65.98590833;158.36;-88.00;
279;J1036-8317;159.16900417;-83.29889444;27.09;12.90;
280;J1038+0032;159.61222083;0.54544444;26.34;20.00;
281;B1036-58;159.58208333;-58.52421667;72.74;-31.00;
282;B1039-19;160.40081667;-19.70378056;33.78;-22.80;
283;B1039-55;160.50202208;-55.35160917;306.50;155.00;
284;J1043-6116;160.98025417;-61.28076667;448.91;189.00;
285;J1045-4509;161.45910336;-45.16502896;58.11;94.43;
286;J1046+0304;161.68012500;3.06858333;24.98;-1.10;
287;B1044-57;161.57837500;-58.23111111;240.20;133.00;
288;J1047-3032;161.75338998;-30.53833367;52.54;-26.20;
289;J1047-6709;161.86784167;-67.16418500;116.16;-79.30;
290;J1048+2339;162.18090981;23.66483453;16.65;-2.40;
291;B1046-58;162.05437500;-58.53505556;128.68;-149.40;
292;J1049+5822;162.40791667;58.37141667;12.36;3.95;
293;J1049-5833;162.45975000;-58.56238889;446.80;344.00;
294;J1052-5954;163.15879167;-59.91225000;491.90;-270.00;
295;J1054-5943;163.74062500;-59.72058333;330.70;151.00;
296;J1054-6452;163.53683333;-64.87708333;234.00;115.20;
297;J1055-6028;163.91329167;-60.47708333;636.50;343.00;
298;B1054-62;164.10660000;-62.97991389;320.62;8.40;
299;J1056-7117;164.19158333;-71.29816500;92.90;-31.30;
300;B1055-52;164.49602083;-52.44898056;29.69;47.20;
301;B1056-78;164.36541667;-79.23988889;51.00;-22.20;
302;J1058-5957;164.64270833;-59.96011111;334.00;41.00;
303;B1056-57;164.75370250;-57.70404167;108.70;-75.00;
304;J1101-6424;165.40496792;-64.41092556;207.36;-41.21;
305;J1103-5403;165.88872500;-54.06201250;103.91;-67.70;
306;J1103-6025;165.88116667;-60.42677500;275.90;569.00;
307;J1104-6103;166.07192500;-61.05107778;78.51;-8.00;
308;J1105-4353;166.35350000;-43.88472222;45.00;17.00;
309;J1105-6107;166.35891667;-61.13026111;271.24;187.00;
310;J1107-5907;166.89358333;-59.12186111;40.75;25.95;
311;B1105-59;166.99458333;-59.78444444;158.40;-31.00;
312;J1107-6143;166.80125000;-61.73305556;406.00;668.00;
313;B1107-56;167.50154667;-56.62571389;262.56;419.00;
314;J1112-6103;168.06170833;-61.05863889;595.69;242.00;
315;B1110-65;168.16005833;-66.21796194;249.30;-132.00;
316;B1110-69;168.21158333;-69.44231389;148.40;-36.00;
317;B1112-60;168.59454167;-61.00891667;676.70;-6729.00;
318;J1115-0956;168.86400417;-9.94808333;16.10;-9.00;
319;B1112+50;168.91000000;50.50341389;9.19;2.63;
320;J1115-6052;168.97384167;-60.87183611;226.92;251.60;
321;B1114-41;169.17952500;-41.37887778;40.53;-37.00;
322;J1117-6154;169.34920833;-61.90611111;493.60;-622.00;
323;J1119-6127;169.80958333;-61.46375000;704.80;853.00;
324;B1118-79;169.92000000;-79.60841667;27.40;-11.00;
325;J1120-3618;170.09732500;-36.32790778;45.12;-48.00;
326;B1119-54;170.32954167;-54.73475000;204.70;42.00;
327;J1123-4844;170.81521250;-48.73965278;92.92;-7.00;
328;J1123-6102;170.92375000;-61.03505556;439.40;244.00;
329;J1123-6259;170.98137500;-62.98636667;223.26;54.00;
330;J1123-6651;170.96754167;-66.86363056;111.20;-85.00;
331;J1124-5916;171.16250000;-59.27194444;329.20;164.00;
332;J1124-6421;171.24791667;-64.35472222;298.00;-1102.00;
333;J1125-5825;171.43485683;-58.42135550;124.81;-5.50;
334;J1125-6014;171.48012346;-60.23519318;52.93;8.45;
335;J1125+7819;171.49940268;78.33019874;12.03;-28.40;
336;B1124-60;171.71920000;-60.91110000;280.27;-41.00;
337;J1126-6942;171.59025000;-69.70438889;55.33;-31.00;
338;J1130-6807;172.63297083;-68.12458889;148.73;-150.00;
339;B1131-62;173.46437500;-62.84738889;567.80;848.00;
340;B1133+16;174.01299917;15.85393972;4.84;3.97;
341;B1133-55;174.00900000;-55.41858333;85.11;31.80;
342;J1137-6700;174.38370417;-67.00916944;228.04;-1.00;
343;J1138-6207;174.59008333;-62.13313889;518.86;594.00;
344;J1141-3107;175.35678750;-31.13127778;30.77;-26.00;
345;J1141-3322;175.42815000;-33.37703056;46.45;-36.00;
346;J1141-6545;175.27922500;-65.75530919;116.08;-93.40;
347;J1142+0119;175.70893750;1.32658056;19.20;0.31;
348;B1143-60;176.53214667;-60.51656167;111.68;7.00;
