epoch date freq primary flux rms snr
22 2022-11-14T22:10:36.6 887.5 True -1.2124924659729004 0.2208523452281952 5.4900593757629395
23 2022-11-19T21:15:57.2 887.5 True -1.5086129903793335 0.2319357544183731 6.504443645477295
23 2022-12-06T20:14:21.0 887.5 True -1.1498439311981201 0.23378901183605194 4.918297290802002
23 2022-12-20T21:19:36.9 887.5 True -0.9942387938499451 0.2506706416606903 3.966315269470215
23 2023-01-05T19:58:45.8 887.5 True -0.9309406876564026 0.46159985661506653 2.0167698860168457
23 2023-01-20T17:26:35.8 887.5 True -0.6934946179389954 0.2591811418533325 2.6757140159606934
23 2023-02-03T16:33:28.7 887.5 True -1.3222732543945312 0.29083824157714844 4.546421527862549
23 2023-02-04T17:25:12.6 887.5 True -1.515815019607544 0.39093324542045593 3.877427101135254
24 2023-02-18T15:35:09.4 887.5 True -0.5913265943527222 0.27513405680656433 2.14923095703125
25 2023-02-23T15:01:39.7 887.5 True -1.1970778703689575 0.23928092420101166 5.002813339233398
26 2023-03-06T14:17:14.7 887.5 True -0.597861111164093 0.27463510632514954 2.176928997039795
27 2023-03-22T15:18:07.4 887.5 True -0.7839022278785706 0.2347755879163742 3.338942766189575
30 2023-04-06T13:42:45.8 887.5 True -0.7874199151992798 0.2778274118900299 2.834205150604248
31 2023-04-21T13:31:39.1 887.5 True -0.6732627749443054 0.24395644664764404 2.7597663402557373
32 2023-05-07T10:18:26.1 887.5 True -0.7725673913955688 0.23887982964515686 3.2341256141662598
33 2023-05-21T11:27:17.7 887.5 True -0.9419629573822021 0.2139362096786499 4.403008460998535
34 2023-06-03T10:30:27.3 887.5 True -0.8573562502861023 0.2330619841814041 3.678661823272705
35 2023-06-06T08:02:47.8 887.5 True -0.9650556445121765 0.24206624925136566 3.986741781234741
37 2023-06-22T07:16:27.4 887.5 True -0.7501490116119385 0.22654207050800323 3.3113012313842773
38 2023-06-25T06:48:19.8 887.5 True -0.6510674357414246 0.2298424243927002 2.8326687812805176
40 2023-07-04T08:29:45.6 887.5 True -0.64711993932724 0.23537786304950714 2.749281167984009
41 2023-07-23T07:07:02.4 887.5 True -1.3295079469680786 0.23882469534873962 5.566878318786621
